person,cause_of_death,date,year,canine,dept_name,states_death
Guard Cyrus Sells,Assault,1841-06-09,1841,FALSE,Ohio Department of Rehabilitation and Correction,Ohio
Prison Guard William Bullard,Assault,1841-06-14,1841,FALSE,Missouri Department of Corrections,Missouri
Private Abram Trigg Smith,Gunfire,1841-08-05,1841,FALSE,Texas Rangers,Texas
Sheriff Thomas Wooldridge,Gunfire,1842-05-19,1842,FALSE,Dubois County Sheriff's Department,Indiana
"Warden Charles Lincoln, Jr.",Stabbed,1843-06-18,1843,FALSE,Massachusetts Department of Correction,Massachusetts
Sheriff Samuel B. Wingo,Gunfire,1843-08-31,1843,FALSE,Shannon County Sheriff's Department,Missouri
Sheriff George Lee Phillips,Drowned,1843-09-23,1843,FALSE,Ashe County Sheriff's Office,North Carolina
Sheriff Robert D. Lester,Gunfire,1844-03-21,1844,FALSE,Crawford County Sheriff's Department,Wisconsin
Sheriff Lewis Williams,Gunfire,1844-04-26,1844,FALSE,Jackson County Sheriff's Department,Florida
Private Peter Fohr,Assault,1844-06-08,1844,FALSE,Texas Rangers,Texas
Keeper James Gastin,Assault,1844-10-31,1844,FALSE,Pennsylvania Department of Corrections,Pennsylvania
Undersheriff Osman N. Steele,Gunfire,1845-08-07,1845,FALSE,Delaware County Sheriff's Office,New York
Constable John Holton,Stabbed,1845-11-24,1845,FALSE,Augusta Police Department,Kentucky
Sheriff Lansford Stallings,Gunfire,1845-12-04,1845,FALSE,Cherokee County Sheriff's Office,Alabama
Lieutenant John M. Brown,Stabbed,1845-12-28,1845,FALSE,Cherokee Nation Marshal Service,NA
Sheriff Samuel Grimmett,Gunfire,1847-04-11,1847,FALSE,Montgomery County Sheriff's Office,Texas
Deputy Sheriff William Armstrong,Gunfire,1847-06-25,1847,FALSE,Hampshire County Sheriff's Office,Virginia
Sheriff Enoch B. Morelock,Gunfire,1847-12-19,1847,FALSE,Sullivan County Sheriff's Office,Missouri
Watchman David Estes,Gunfire,1848-04-27,1848,FALSE,Boston Watch,Massachusetts
Watchman John Brasher,Gunfire,1849-05-06,1849,FALSE,Cincinnati Police Department,Ohio
Watchman Peter Davison,Stabbed,1849-06-25,1849,FALSE,Cincinnati Police Department,Ohio
Patrolman Thomas Lynch,Assault,1849-09-27,1849,FALSE,New York Municipal Police Force,New York
Patrolman William Helms,Structure collapse,1849-10-16,1849,FALSE,New York Municipal Police Force,New York
Major Charles Grandison Bryant,Assault,1850-01-12,1850,FALSE,Texas Rangers,Texas
Police Officer Ephraim Hibler,Gunfire,1850-05-26,1850,FALSE,St. Louis Metropolitan Police Department,Missouri
Private William Gillespie,Assault,1850-05-29,1850,FALSE,Texas Rangers,Texas
Sheriff Joseph McKinney,Gunfire,1850-08-15,1850,FALSE,Sacramento County Sheriff's Department,California
Private John Lemon Wilbarger,Gunfire,1850-08-20,1850,FALSE,Texas Rangers,Texas
"Private Daniel C. ""Doc"" Sullivan",Gunfire,1850-08-20,1850,FALSE,Texas Rangers,Texas
Private Samuel Baker Barton,Assault,1851-01-27,1851,FALSE,Texas Rangers,Texas
Private William Lackey,Assault,1851-02-03,1851,FALSE,Texas Rangers,Texas
Patrolman George T. Gillespie,Assault,1851-07-10,1851,FALSE,New York Municipal Police Force,New York
Sergeant Michael Foster,Stabbed,1851-08-04,1851,FALSE,New York Municipal Police Force,New York
Posseman Edward Gorsuch,Gunfire,1851-09-11,1851,FALSE,United States Department of Justice - United States Marshals Service,NA
Deputy Sheriff David Neil,Gunfire,1851-09-27,1851,FALSE,Smith County Sheriff's Office,Texas
Deputy Sheriff James Holden,Gunfire,1851-09-27,1851,FALSE,Smith County Sheriff's Office,Texas
Night Policeman William Baker,Fire,1851-12-26,1851,FALSE,Philadelphia Police Department,Pennsylvania
Captain Chin Chi Kee,Gunfire,1852-01-10,1852,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement,NA
Sheriff James Preston Fulkerson,Gunfire,1852-04-04,1852,FALSE,Calhoun County Sheriff's Office,Texas
Deputy Sheriff Moses Formwalt,Stabbed,1852-05-01,1852,FALSE,DeKalb County Sheriff's Office,Georgia
Watchman William T. Pullan,Assault,1852-05-18,1852,FALSE,Providence City Watch,Rhode Island
Constable Gideon Manchester,Gunfire,1852-07-16,1852,FALSE,Fall River Police Department,Massachusetts
Watchman Joseph Stoddard,Stabbed,1852-09-10,1852,FALSE,Cincinnati Police Department,Ohio
Deputy Sheriff Wesley F. Cherry,Gunfire,1853-03-06,1853,FALSE,King County Sheriff's Office,Washington
Night Watchman Samuel H. Ferguson,Stabbed,1853-04-21,1853,FALSE,Pittsburgh Night Watch,Pennsylvania
Deputy Sheriff Rodney Badger,Drowned,1853-04-29,1853,FALSE,Salt Lake County Sheriff's Office,Utah
Shadow George Trenchard,Fire,1853-06-02,1853,FALSE,New York Municipal Police Force,New York
Watchman John Osborne,Stabbed,1853-12-01,1853,FALSE,Cleveland Police Department,Ohio
Constable James Quinn,Assault,1853-12-05,1853,FALSE,Chicago Police Department,Illinois
Constable Jack Wheelan,Stabbed,1853-12-07,1853,FALSE,Los Angeles County Constable's Office,California
Police Officer George R. Turner,Gunfire,1854-04-14,1854,FALSE,Stockton Police Department,California
Officer Cyrus Beebe,Gunfire,1854-04-27,1854,FALSE,Columbus Division of Police,Ohio
Deputy U.S. Marshal James Batchelder,Gunfire,1854-05-26,1854,FALSE,United States Department of Justice - United States Marshals Service,NA
Constable William H. Hardmount,Gunfire,1854-09-02,1854,FALSE,Monterey County Constable's Office,California
Patrolman Casper Lauer,Stabbed,1854-09-18,1854,FALSE,Chicago Police Department,Illinois
Patrolman James Cahill,Gunfire,1854-09-29,1854,FALSE,New York Municipal Police Force,New York
Police Officer Maxwell Badgley,Stabbed,1854-10-23,1854,FALSE,Newark Police Department,New Jersey
Patrolman David Gourley,Stabbed,1854-11-05,1854,FALSE,New York Municipal Police Force,New York
Deputy Sheriff William Harrison Reams,Stabbed,1854-11-24,1854,FALSE,Laurel County Sheriff's Department,Kentucky
Policeman John Sheldon,Stabbed,1855-04-29,1855,FALSE,Sonora Police Department,California
Sheriff William A. Phoenix,Gunfire,1855-08-12,1855,FALSE,Amador County Sheriff's Department,California
Indian Agent Andrew J. Bolon,Stabbed,1855-09-25,1855,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement,NA
Private William H. Clopton,Gunfire,1855-10-03,1855,FALSE,Texas Rangers,Texas
Private Willis E. Jones,Gunfire,1855-10-03,1855,FALSE,Texas Rangers,Texas
Private H. K. Holland,Gunfire,1855-10-03,1855,FALSE,Texas Rangers,Texas
Private Augustus Smith,Gunfire,1855-10-03,1855,FALSE,Texas Rangers,Texas
Deputy Sheriff Charles Layton,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department,California
Deputy Sheriff Joaquin De La Torre,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department,California
Deputy Sheriff Jim Beckwith,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department,California
Marshal William H. Richardson,Gunfire,1855-11-17,1855,FALSE,United States Department of Justice - United States Marshals Service,NA
Night Watchman Thomas Cummins,Assault,1855-11-24,1855,FALSE,New Haven Police Department,Connecticut
Marshal Eli R. Doyle,Fall,1855-12-27,1855,FALSE,United States Department of Justice - United States Marshals Service,NA
Police Officer Alexander Algeo,Gunfire,1856-03-26,1856,FALSE,New Orleans Police Department,Louisiana
Lieutenant Levi Parker,Gunfire,1856-05-04,1856,FALSE,Cincinnati Police Department,Ohio
Watchman Neil Mooney,Gunfire,1856-05-25,1856,FALSE,Philadelphia Police Department,Pennsylvania
City Marshal David Johnson,Gunfire,1856-11-03,1856,FALSE,Nevada City Police Department,California
Sheriff W. W. Wright,Gunfire,1856-11-03,1856,FALSE,Nevada County Sheriff's Office,California
Sheriff John F. Taylor,Gunfire,1856-11-11,1856,FALSE,Winnebago County Sheriff's Office,Illinois
Night Watchman John Omayer,Gunfire (Accidental),1856-11-13,1856,FALSE,Baltimore City Police Department,Maryland
Police Officer William I. Van Arsdale,Drowned,1856-12-07,1856,FALSE,New Brunswick Police Department,New Jersey
Deputy Warden Galen Carter Walker,Stabbed,1856-12-15,1856,FALSE,Massachusetts Department of Correction,Massachusetts
Warden Solon Tenney,Stabbed,1856-12-29,1856,FALSE,Massachusetts Department of Correction,Massachusetts
Sheriff James R. Barton,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department,California
Constable Charles K. Baker,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department,California
Deputy Charles T. Daly,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department,California
Constable William H. Little,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department,California
Sheriff James M. Land,Gunfire,1857-03-22,1857,FALSE,Estill County Sheriff's Department,Kentucky
Deputy Sheriff Jessie Arvin,Gunfire,1857-03-22,1857,FALSE,Estill County Sheriff's Department,Kentucky
Patrolman Stephen P. Hardenbrook,Stabbed,1857-04-15,1857,FALSE,New York Municipal Police Force,New York
Deputized Civilian William B.M. Barbee,Gunfire,1857-05-24,1857,FALSE,Burleson County Constable's Office - Precinct 3,Texas
Assistant City Marshal Frederick W. Fieldstrup,Gunfire,1857-05-29,1857,FALSE,San Antonio Police Department,Texas
